province_cn,province_en,new_capacity_total_10kw,new_capacity_utility_10kw,new_capacity_distributed_10kw,new_capacity_residential_10kw,cum_capacity_total_10kw,cum_capacity_utility_10kw,cum_capacity_distributed_10kw,cum_capacity_residential_10kw,province_translation_missing
总计,Total,2440.0,1729.0,711.0,,10182.0,8439.0,1743.0,,False
北京,Beijing,0.0,0.0,0.0,,24.0,5.0,19.0,,False
天津,Tianjin,0.0,0.0,0.0,,60.0,48.0,12.0,,False
河北,Hebei,159.0,108.0,51.0,,602.0,512.0,90.0,,False
山西,Shanxi,73.0,52.0,21.0,,370.0,336.0,34.0,,False
内蒙古,Inner Mongolia,60.0,59.0,1.0,,696.0,695.0,1.0,,False
辽宁,Liaoning,76.0,68.0,8.0,,128.0,104.0,24.0,,False
吉林,Jilin,60.0,45.0,15.0,,116.0,96.0,20.0,,False
黑龙江,Heilongjiang,49.0,48.0,1.0,,65.0,59.0,6.0,,False
上海,Shanghai,11.0,0.0,11.0,,47.0,2.0,45.0,,False
江苏,Jiangsu,242.0,186.0,56.0,,787.0,559.0,228.0,,False
浙江,Zhejiang,260.0,135.0,125.0,,599.0,266.0,333.0,,False
安徽,Anhui,291.0,153.0,138.0,,636.0,420.0,216.0,,False
福建,Fujian,21.0,12.0,9.0,,48.0,23.0,25.0,,False
江西,Jiangxi,97.0,63.0,34.0,,325.0,235.0,90.0,,False
山东,Shandong,154.0,31.0,123.0,,609.0,367.0,242.0,,False
河南,Henan,180.0,139.0,41.0,,465.0,387.0,78.0,,False
湖北,Hubei,83.0,57.0,26.0,,270.0,224.0,46.0,,False
湖南,Hunan,60.0,45.0,15.0,,89.0,45.0,44.0,,False
广东,Guangdong,101.0,84.0,17.0,,257.0,152.0,105.0,,False
广西,Guangxi,23.0,22.0,1.0,,41.0,31.0,10.0,,False
海南,Hainan,-2.0,2.0,-4.0,,32.0,27.0,5.0,,False
重庆,Chongqing,0.0,0.0,0.0,,1.0,0.0,1.0,,False
四川,Sichuan,3.0,2.0,1.0,,99.0,92.0,7.0,,False
贵州,Guizhou,20.0,20.0,0.0,,66.0,66.0,0.0,,False
云南,Yunnan,2.0,0.0,2.0,,211.0,208.0,3.0,,False
西藏,Tibet,25.0,25.0,0.0,,57.0,57.0,0.0,,False
陕西,Shaanxi,147.0,136.0,11.0,,481.0,458.0,23.0,,False
甘肃,Gansu,80.0,76.0,4.0,,766.0,755.0,11.0,,False
青海,Qinghai,37.0,35.0,2.0,,719.0,717.0,2.0,,False
宁夏,Ningxia,85.0,83.0,2.0,,611.0,588.0,23.0,,False
新疆自治区,,11.0,11.0,0.0,,720.0,720.0,0.0,,True
新疆兵团,Xinjiang Production and Construction Corps,32.0,32.0,0.0,,185.0,185.0,0.0,,False
